,Actual,Predicted,Error
470,193428.237,193777.46875,121962.8152080669
471,401627.3317,406382.21875,22608950.858257886
472,158364.274,158660.40625,87694.3094900596
473,141792.3817,145287.796875,12217927.245620294
474,232974.422,232477.078125,247350.93000000707
475,299264.4023,295830.9375,11788680.532839151
476,226579.8309,222759.875,14592063.077944817
477,116819.6728,113396.296875,11719502.723869607
478,140290.7336,143774.96875,12139894.580495475
479,314214.4679,315527.0625,1722904.5839491896
480,343714.8894,351980.46875,68319801.99114667
481,184898.5775,184027.84375,758177.2633890868
482,220927.1144,224129.6875,10256474.460843666
483,130775.6804,132087.9375,1722018.6965004166
484,242410.7455,242067.234375,117999.89299875875
485,135368.5106,136260.75,796091.1469123445
486,129920.8772,128968.3203125,907364.6239236926
487,166240.7353,167397.984375,1339225.421588355
488,236272.5978,234860.96875,1992696.5748038704
489,203241.4734,204844.953125,2571147.228486114
490,276083.8699,276030.6875,2828.3676697589995
491,187000.3957,186189.453125,657627.8599476203
492,238985.9971,243377.6875,19286944.569452092
493,263314.2996,263701.96875,150287.36986170113
494,255105.3117,254266.359375,703841.0036228907
495,337315.4762,338684.6875,1874739.584047757
496,85266.71733,85889.1953125,387478.83869727096
497,201921.2367,202192.890625,73795.85496790097
498,159158.4994,159161.25,7.56580035999667
499,215482.9702,214051.1875,2050001.7000193205
500,151493.3404,151378.40625,13209.858836219375
501,131286.4031,130774.953125,261581.07692749644
502,124942.417,127477.0859375,6424546.622727373
503,273422.9596,274490.9375,1140576.7948884058
504,206473.6712,210908.765625,19670062.558665976
505,268601.1216,262998.0625,31394271.278092958
506,88984.12678,94220.1953125,27416413.67703664
507,156800.9586,156819.546875,345.5239674751541
508,256244.4467,257031.328125,619182.37701003
509,330227.6278,335754.3125,30544243.773213908
510,143243.6061,143894.5,423662.8690572041
511,264293.745,264459.0625,27329.87580625154
512,211056.6881,211691.734375,403283.7713913764
513,294434.5325,292121.0625,5352143.44089987
514,182624.9734,182759.1875,18013.424638813212
515,206671.4917,211431.046875,22653365.463869154
516,222770.63,223229.625,210676.4100249957
517,201084.6469,200551.984375,283729.3655393676
518,242711.6906,245200.171875,6192539.056025617
519,260913.1198,261410.59375,247480.33092861657
520,224881.4275,226191.34375,1715880.582014087
521,180791.0758,183614.671875,7972694.794755454
522,240995.6771,242006.65625,1022078.8417347209
523,179076.7168,177063.59375,4052664.414441281
524,140000.0891,141865.5625,3479991.006107515
525,168828.8189,169555.5,528065.4210971912
526,146444.799,143067.078125,11408998.30941076
527,147418.6427,149840.40625,5864938.692108618
528,193701.6649,193863.234375,26104.695251774527
529,219435.7865,217102.21875,5445538.443840004
530,181473.189,182469.671875,992978.1201682397
531,151603.5238,149058.9375,6474919.438147667
532,259956.3527,260269.484375,98051.4458883128
533,140125.9537,138395.15625,2995659.8129265467
534,256991.1085,260774.390625,14313223.6373445
535,220394.116,218839.75,2416053.661956028
